reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,153.57,6,Extinction,0.1850
true,243.63,5,Extinction,0.1609
true,521.76,10,Extinction,0.3236
true,607.30,13,Extinction,0.4922
true,243.36,5,Extinction,0.1609
true,59.47,2,Extinction,0.1058
true,133.24,4,Extinction,0.1399
true,766.62,16,Extinction,0.7486
true,357.25,8,Extinction,0.2447
true,475.35,11,Extinction,0.3722
true,40.62,2,Extinction,0.1058
true,612.43,12,Extinction,0.4280
true,271.64,6,Extinction,0.1850
true,665.69,14,Extinction,0.5661
true,453.81,11,Extinction,0.3722
true,6.73,2,Extinction,0.1058
true,832.27,18,Extinction,0.9900
true,739.93,17,Extinction,0.8609
true,701.18,14,Extinction,0.5661
true,799.27,16,Extinction,0.7486
true,20.26,2,Extinction,0.1058
true,248.47,4,Extinction,0.1399
true,309.91,6,Extinction,0.1850
true,666.71,18,Extinction,0.9900
true,779.26,17,Extinction,0.8609
true,575.54,14,Extinction,0.5661
true,404.39,10,Extinction,0.3236
true,562.75,15,Extinction,0.6510
true,25.82,2,Extinction,0.1058
true,163.85,4,Extinction,0.1399
true,296.20,8,Extinction,0.2447
true,220.64,6,Extinction,0.1850
true,390.42,8,Extinction,0.2447
true,495.46,9,Extinction,0.2814
true,106.94,3,Extinction,0.1217
true,390.36,10,Extinction,0.3236
true,549.63,14,Extinction,0.5661
true,357.94,11,Extinction,0.3722
true,647.21,12,Extinction,0.4280
true,636.22,17,Extinction,0.8609
true,295.68,11,Extinction,0.3722
true,211.55,7,Extinction,0.2128
true,23.88,2,Extinction,0.1058
true,661.49,15,Extinction,0.6510
true,12.09,2,Extinction,0.1058
true,914.47,20,Extinction,0.9900
true,407.72,10,Extinction,0.3236
true,583.90,15,Extinction,0.6510
true,189.08,5,Extinction,0.1609
true,239.80,5,Extinction,0.1609
true,663.40,13,Extinction,0.4922
true,639.81,14,Extinction,0.5661
true,94.20,4,Extinction,0.1399
true,246.71,6,Extinction,0.1850
true,777.63,16,Extinction,0.7486
true,467.20,12,Extinction,0.4280
true,413.78,9,Extinction,0.2814
true,677.35,16,Extinction,0.7486
true,413.78,10,Extinction,0.3236
true,243.13,6,Extinction,0.1850
true,875.79,20,Extinction,0.9900
true,93.92,3,Extinction,0.1217
true,815.64,18,Extinction,0.9900
true,523.07,14,Extinction,0.5661
true,411.09,10,Extinction,0.3236
true,423.62,11,Extinction,0.3722
true,664.49,14,Extinction,0.5661
true,922.11,18,Extinction,0.9900
true,147.63,7,Extinction,0.2128
true,463.94,9,Extinction,0.2814
true,574.52,16,Extinction,0.7486
true,673.47,17,Extinction,0.8609
true,774.76,18,Extinction,0.9900
true,88.27,4,Extinction,0.1399
true,74.11,4,Extinction,0.1399
true,781.84,16,Extinction,0.7486
true,644.46,15,Extinction,0.6510
true,74.99,3,Extinction,0.1217
true,469.32,11,Extinction,0.3722
true,327.93,10,Extinction,0.3236
true,415.59,10,Extinction,0.3236
true,247.48,6,Extinction,0.1850
true,763.07,14,Extinction,0.5661
true,186.46,4,Extinction,0.1399
true,396.39,10,Extinction,0.3236
true,798.86,19,Extinction,0.9900
true,520.23,13,Extinction,0.4922
true,519.22,12,Extinction,0.4280
true,327.78,12,Extinction,0.4280
true,885.99,18,Extinction,0.9900
true,501.53,11,Extinction,0.3722
true,512.60,13,Extinction,0.4922
true,311.48,10,Extinction,0.3236
true,187.18,5,Extinction,0.1609
true,736.65,17,Extinction,0.8609
true,521.62,14,Extinction,0.5661
true,416.88,12,Extinction,0.4280
true,635.08,11,Extinction,0.3722
true,661.85,14,Extinction,0.5661
true,124.99,6,Extinction,0.1850
true,334.24,8,Extinction,0.2447
true,537.36,12,Extinction,0.4280
true,213.53,6,Extinction,0.1850
true,288.76,7,Extinction,0.2128
true,755.42,19,Extinction,0.9900
true,205.19,6,Extinction,0.1850
true,694.14,14,Extinction,0.5661
true,498.81,13,Extinction,0.4922
true,593.14,11,Extinction,0.3722
true,545.37,15,Extinction,0.6510
true,302.96,11,Extinction,0.3722
true,168.60,4,Extinction,0.1399
true,219.48,7,Extinction,0.2128
true,207.30,5,Extinction,0.1609
true,703.95,19,Extinction,0.9900
true,391.23,9,Extinction,0.2814
true,550.20,14,Extinction,0.5661
true,822.98,21,Extinction,0.9900
true,830.88,16,Extinction,0.7486
true,157.51,4,Extinction,0.1399
true,92.08,2,Extinction,0.1058
true,316.94,7,Extinction,0.2128
true,494.75,12,Extinction,0.4280
true,476.90,14,Extinction,0.5661
true,192.74,6,Extinction,0.1850
true,429.33,11,Extinction,0.3722
true,99.05,3,Extinction,0.1217
true,438.05,13,Extinction,0.4922
true,117.49,4,Extinction,0.1399
true,144.47,5,Extinction,0.1609
true,160.38,8,Extinction,0.2447
true,647.13,16,Extinction,0.7486
true,429.66,11,Extinction,0.3722
true,336.89,11,Extinction,0.3722
false,1025.66,19,TCS_AI,0.9900
true,767.99,16,Extinction,0.7486
true,678.45,15,Extinction,0.6510
true,391.30,12,Extinction,0.4280
true,496.50,13,Extinction,0.4922
true,834.97,20,Extinction,0.9900
true,550.78,13,Extinction,0.4922
true,537.53,12,Extinction,0.4280
true,181.99,5,Extinction,0.1609
true,1.00,2,Extinction,0.1058
true,528.55,13,Extinction,0.4922
false,1002.01,18,Corruption,0.9900
true,467.62,10,Extinction,0.3236
true,582.71,13,Extinction,0.4922
true,566.97,11,Extinction,0.3722
true,157.58,4,Extinction,0.1399
true,354.26,8,Extinction,0.2447
true,741.16,16,Extinction,0.7486
true,570.97,12,Extinction,0.4280
true,660.29,14,Extinction,0.5661
true,634.18,15,Extinction,0.6510
true,475.80,11,Extinction,0.3722
