reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,89.68,4,Extinction,0.3662
true,95.86,4,Extinction,0.3662
true,34.35,2,Extinction,0.2344
true,83.42,4,Extinction,0.3662
true,270.44,9,Extinction,0.9900
true,122.66,6,Extinction,0.5722
true,49.85,2,Extinction,0.2344
true,119.51,5,Extinction,0.4578
true,128.14,4,Extinction,0.3662
true,277.65,10,Extinction,0.9900
true,68.19,3,Extinction,0.2930
true,92.58,5,Extinction,0.4578
true,85.71,3,Extinction,0.2930
true,107.85,7,Extinction,0.7153
true,187.82,6,Extinction,0.5722
true,21.07,2,Extinction,0.2344
true,165.95,8,Extinction,0.8941
true,222.76,9,Extinction,0.9900
true,191.69,8,Extinction,0.8941
true,41.30,2,Extinction,0.2344
true,49.39,2,Extinction,0.2344
true,277.04,11,Extinction,0.9900
true,197.04,7,Extinction,0.7153
true,26.50,2,Extinction,0.2344
true,84.09,4,Extinction,0.3662
true,90.07,4,Extinction,0.3662
true,278.16,9,Extinction,0.9900
true,92.23,4,Extinction,0.3662
true,232.95,9,Extinction,0.9900
true,252.15,9,Extinction,0.9900
true,177.01,6,Extinction,0.5722
true,69.63,3,Extinction,0.2930
true,118.38,4,Extinction,0.3662
true,105.38,4,Extinction,0.3662
true,153.21,6,Extinction,0.5722
true,175.97,7,Extinction,0.7153
true,129.41,4,Extinction,0.3662
true,83.68,4,Extinction,0.3662
true,222.01,7,Extinction,0.7153
true,34.28,2,Extinction,0.2344
true,219.74,9,Extinction,0.9900
true,166.32,8,Extinction,0.8941
true,133.41,5,Extinction,0.4578
true,220.46,9,Extinction,0.9900
true,39.85,3,Extinction,0.2930
true,230.06,9,Extinction,0.9900
true,283.74,10,Extinction,0.9900
true,29.87,2,Extinction,0.2344
true,109.41,5,Extinction,0.4578
true,148.35,6,Extinction,0.5722
true,95.53,4,Extinction,0.3662
true,33.17,2,Extinction,0.2344
true,63.72,4,Extinction,0.3662
true,144.68,6,Extinction,0.5722
true,209.12,9,Extinction,0.9900
true,182.84,8,Extinction,0.8941
true,30.31,2,Extinction,0.2344
true,184.10,9,Extinction,0.9900
true,235.17,8,Extinction,0.8941
true,150.89,7,Extinction,0.7153
true,231.93,9,Extinction,0.9900
true,27.50,2,Extinction,0.2344
true,74.41,3,Extinction,0.2930
true,215.52,9,Extinction,0.9900
true,278.66,11,Extinction,0.9900
true,85.77,4,Extinction,0.3662
true,60.70,3,Extinction,0.2930
true,305.98,11,Extinction,0.9900
true,10.83,2,Extinction,0.2344
true,249.35,10,Extinction,0.9900
true,33.84,3,Extinction,0.2930
true,179.48,6,Extinction,0.5722
true,17.99,2,Extinction,0.2344
true,214.86,8,Extinction,0.8941
true,72.35,4,Extinction,0.3662
true,144.64,6,Extinction,0.5722
true,166.84,7,Extinction,0.7153
true,137.53,6,Extinction,0.5722
true,134.40,5,Extinction,0.4578
true,41.39,2,Extinction,0.2344
true,57.20,4,Extinction,0.3662
true,223.06,8,Extinction,0.8941
true,184.09,8,Extinction,0.8941
true,132.54,6,Extinction,0.5722
true,32.80,2,Extinction,0.2344
true,171.96,6,Extinction,0.5722
true,32.01,2,Extinction,0.2344
true,209.38,8,Extinction,0.8941
true,278.17,10,Extinction,0.9900
true,43.54,2,Extinction,0.2344
true,93.88,4,Extinction,0.3662
true,43.69,2,Extinction,0.2344
true,158.19,8,Extinction,0.8941
true,22.69,2,Extinction,0.2344
true,176.91,6,Extinction,0.5722
true,119.02,6,Extinction,0.5722
true,251.21,10,Extinction,0.9900
true,220.85,8,Extinction,0.8941
true,222.69,8,Extinction,0.8941
true,220.65,9,Extinction,0.9900
true,158.56,6,Extinction,0.5722
true,236.66,9,Extinction,0.9900
true,131.73,5,Extinction,0.4578
true,201.42,7,Extinction,0.7153
true,82.42,4,Extinction,0.3662
true,30.73,2,Extinction,0.2344
true,73.98,4,Extinction,0.3662
true,263.93,8,Extinction,0.8941
true,294.30,9,Extinction,0.9900
true,153.87,6,Extinction,0.5722
true,199.35,8,Extinction,0.8941
true,135.51,5,Extinction,0.4578
true,138.81,5,Extinction,0.4578
true,214.16,9,Extinction,0.9900
true,319.73,9,Extinction,0.9900
true,264.61,9,Extinction,0.9900
true,178.87,6,Extinction,0.5722
true,263.38,11,Extinction,0.9900
true,203.64,8,Extinction,0.8941
true,239.14,8,Extinction,0.8941
true,28.84,2,Extinction,0.2344
true,79.45,4,Extinction,0.3662
