reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
false,2052.80,29,Corruption,0.0823
true,622.55,10,Extinction,0.0326
false,2054.81,24,Corruption,0.0645
false,2040.66,26,Corruption,0.0711
true,1804.37,26,Extinction,0.0711
false,2042.00,26,TCS_Human,0.0711
false,2074.34,29,Corruption,0.0823
true,961.87,16,Extinction,0.0437
false,2041.71,26,TCS_Human,0.0711
false,2024.24,27,TCS_Human,0.0747
false,2057.78,26,TCS_Human,0.0711
false,2023.96,27,TCS_Human,0.0747
true,1948.49,27,Extinction,0.0747
true,1462.04,19,Extinction,0.0505
true,793.58,11,Extinction,0.0342
false,2096.92,30,TCS_Human,0.0864
false,2045.00,29,TCS_Human,0.0823
false,2045.33,25,Corruption,0.0677
true,209.62,5,Extinction,0.0255
false,2008.54,24,Corruption,0.0645
true,210.26,4,Extinction,0.0243
false,2022.88,25,Corruption,0.0677
true,1200.32,17,Extinction,0.0458
true,678.41,10,Extinction,0.0326
false,2026.70,26,TCS_Human,0.0711
false,2049.76,27,Corruption,0.0747
true,648.91,11,Extinction,0.0342
true,634.81,10,Extinction,0.0326
false,2050.35,26,Corruption,0.0711
true,1813.71,25,Extinction,0.0677
true,1797.32,26,Extinction,0.0711
false,2006.09,27,Corruption,0.0747
false,2068.66,25,Corruption,0.0677
false,2001.01,31,Corruption,0.0908
false,2056.30,31,TCS_Human,0.0908
true,953.39,14,Extinction,0.0396
false,2042.06,26,Corruption,0.0711
false,2003.43,27,TCS_Human,0.0747
true,1795.23,23,Extinction,0.0614
false,2022.92,28,Corruption,0.0784
true,1811.79,24,Extinction,0.0645
false,2085.23,29,TCS_Human,0.0823
false,2017.03,31,TCS_Human,0.0908
true,1633.29,25,Extinction,0.0677
false,2065.62,28,TCS_Human,0.0784
false,2059.51,29,Corruption,0.0823
false,2008.70,24,Corruption,0.0645
true,802.28,13,Extinction,0.0377
false,2025.82,26,Corruption,0.0711
false,2021.38,26,Corruption,0.0711
false,2080.43,26,Corruption,0.0711
false,2007.40,26,Corruption,0.0711
false,2038.29,31,TCS_Human,0.0908
false,2033.87,26,Corruption,0.0711
false,2019.88,29,Corruption,0.0823
false,2052.86,25,TCS_Human,0.0677
false,2059.01,28,Corruption,0.0784
false,2022.72,29,TCS_Human,0.0823
false,2029.10,29,Corruption,0.0823
false,2055.09,33,Corruption,0.1001
false,2057.53,30,Corruption,0.0864
false,2006.87,27,Corruption,0.0747
false,2031.00,27,Corruption,0.0747
false,2088.33,28,Corruption,0.0784
false,2039.72,28,Corruption,0.0784
true,1507.85,21,Extinction,0.0557
false,2063.21,27,Corruption,0.0747
false,2008.95,26,TCS_Human,0.0711
false,2097.35,25,TCS_Human,0.0677
false,2083.23,27,Corruption,0.0747
false,2025.21,25,Corruption,0.0677
true,77.06,2,Extinction,0.0221
false,2004.66,26,TCS_Human,0.0711
true,1949.14,24,Extinction,0.0645
false,2066.55,27,TCS_Human,0.0747
true,270.44,4,Extinction,0.0243
true,391.56,6,Extinction,0.0268
true,1012.79,14,Extinction,0.0396
true,198.83,4,Extinction,0.0243
false,2068.96,26,TCS_Human,0.0711
true,83.75,2,Extinction,0.0221
true,982.66,15,Extinction,0.0416
true,453.90,8,Extinction,0.0295
true,1430.20,20,Extinction,0.0531
false,2050.26,27,TCS_Human,0.0747
true,189.50,4,Extinction,0.0243
false,2045.07,26,TCS_Human,0.0711
false,2051.08,28,Corruption,0.0784
false,2050.66,27,Corruption,0.0747
false,2055.05,28,Corruption,0.0784
true,1852.69,23,Extinction,0.0614
false,2050.13,27,Corruption,0.0747
false,2033.24,27,Corruption,0.0747
true,1389.26,19,Extinction,0.0505
false,2007.91,27,TCS_Human,0.0747
true,59.25,2,Extinction,0.0221
false,2030.39,26,Corruption,0.0711
false,2000.94,27,TCS_Human,0.0747
false,2010.78,26,TCS_Human,0.0711
false,2103.07,28,TCS_Human,0.0784
false,2072.89,26,TCS_Human,0.0711
false,2025.04,26,TCS_Human,0.0711
false,2066.62,28,Corruption,0.0784
false,2032.12,24,TCS_Human,0.0645
false,2063.74,29,TCS_Human,0.0823
true,1282.63,19,Extinction,0.0505
false,2056.51,27,Corruption,0.0747
true,911.34,12,Extinction,0.0359
false,2065.95,28,Corruption,0.0784
true,828.69,13,Extinction,0.0377
true,994.58,15,Extinction,0.0416
true,295.60,5,Extinction,0.0255
true,1703.45,24,Extinction,0.0645
true,960.70,14,Extinction,0.0396
