reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,125.73,4,Extinction,0.1749
true,161.55,8,Extinction,0.3059
true,456.37,17,Extinction,0.9900
true,179.67,7,Extinction,0.2660
true,544.56,17,Extinction,0.9900
true,135.05,6,Extinction,0.2313
true,238.45,11,Extinction,0.4652
true,364.75,13,Extinction,0.6153
true,326.50,9,Extinction,0.3518
true,403.37,16,Extinction,0.9358
true,364.89,13,Extinction,0.6153
true,79.58,4,Extinction,0.1749
true,249.02,9,Extinction,0.3518
true,401.22,14,Extinction,0.7076
true,195.24,7,Extinction,0.2660
true,605.90,19,Extinction,0.9900
true,354.34,12,Extinction,0.5350
true,442.13,15,Extinction,0.8137
true,154.64,8,Extinction,0.3059
true,253.59,10,Extinction,0.4046
true,494.31,17,Extinction,0.9900
true,257.19,9,Extinction,0.3518
true,31.66,2,Extinction,0.1322
true,323.58,12,Extinction,0.5350
true,345.62,12,Extinction,0.5350
true,225.66,8,Extinction,0.3059
true,113.35,6,Extinction,0.2313
true,490.73,16,Extinction,0.9358
true,175.52,7,Extinction,0.2660
true,246.39,9,Extinction,0.3518
true,368.74,13,Extinction,0.6153
true,369.87,14,Extinction,0.7076
true,336.52,10,Extinction,0.4046
true,365.19,13,Extinction,0.6153
true,78.06,4,Extinction,0.1749
true,174.46,8,Extinction,0.3059
true,27.89,2,Extinction,0.1322
true,110.50,4,Extinction,0.1749
true,248.67,9,Extinction,0.3518
true,46.70,3,Extinction,0.1521
true,331.47,12,Extinction,0.5350
true,254.54,8,Extinction,0.3059
true,130.66,6,Extinction,0.2313
true,319.71,11,Extinction,0.4652
true,422.42,14,Extinction,0.7076
true,185.94,8,Extinction,0.3059
true,305.07,10,Extinction,0.4046
true,498.87,16,Extinction,0.9358
true,316.15,12,Extinction,0.5350
true,298.71,11,Extinction,0.4652
true,147.24,6,Extinction,0.2313
true,72.19,4,Extinction,0.1749
true,91.84,4,Extinction,0.1749
true,6.36,2,Extinction,0.1322
true,138.99,6,Extinction,0.2313
true,136.22,5,Extinction,0.2011
true,328.75,12,Extinction,0.5350
true,398.25,15,Extinction,0.8137
true,27.00,2,Extinction,0.1322
true,172.42,7,Extinction,0.2660
true,30.23,2,Extinction,0.1322
true,130.32,6,Extinction,0.2313
true,42.89,2,Extinction,0.1322
true,414.67,16,Extinction,0.9358
