reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
false,1000.52,20,Corruption,0.3364
false,1003.26,21,TCS_AI,0.3700
true,45.86,2,Extinction,0.0605
true,138.11,4,Extinction,0.0732
true,345.16,11,Extinction,0.1427
true,210.65,6,Extinction,0.0886
false,1021.16,18,TCS_Human,0.2780
true,280.07,7,Extinction,0.0974
true,761.34,17,Extinction,0.2527
true,981.50,20,Extinction,0.3364
true,361.48,10,Extinction,0.1297
false,1019.51,17,Corruption,0.2527
true,795.62,15,Extinction,0.2089
true,466.49,10,Extinction,0.1297
true,107.71,4,Extinction,0.0732
true,806.24,16,Extinction,0.2297
true,456.02,12,Extinction,0.1569
false,1037.41,22,Corruption,0.4070
true,812.88,19,Extinction,0.3058
true,214.85,6,Extinction,0.0886
true,481.97,11,Extinction,0.1427
true,134.14,4,Extinction,0.0732
true,741.95,18,Extinction,0.2780
false,1052.54,20,TCS_AI,0.3364
false,1033.24,21,Corruption,0.3700
true,138.39,5,Extinction,0.0805
false,1079.06,21,TCS_AI,0.3700
true,941.63,17,Extinction,0.2527
true,693.84,14,Extinction,0.1899
true,509.22,11,Extinction,0.1427
true,933.51,19,Extinction,0.3058
true,920.87,20,Extinction,0.3364
true,231.89,5,Extinction,0.0805
false,1024.76,21,TCS_Human,0.3700
true,312.38,9,Extinction,0.1179
false,1040.47,22,Corruption,0.4070
true,322.03,8,Extinction,0.1072
false,1033.32,19,TCS_Human,0.3058
true,356.28,8,Extinction,0.1072
true,179.55,5,Extinction,0.0805
true,325.74,9,Extinction,0.1179
true,840.56,17,Extinction,0.2527
true,981.74,20,Extinction,0.3364
true,634.39,12,Extinction,0.1569
true,302.05,8,Extinction,0.1072
true,49.07,2,Extinction,0.0605
true,613.05,12,Extinction,0.1569
true,770.57,16,Extinction,0.2297
false,1024.67,21,TCS_AI,0.3700
false,1055.66,20,Corruption,0.3364
false,1047.54,18,TCS_Human,0.2780
true,185.46,4,Extinction,0.0732
false,1045.13,23,TCS_Human,0.4477
true,263.97,7,Extinction,0.0974
false,1006.96,19,Corruption,0.3058
true,303.38,7,Extinction,0.0974
true,917.69,20,Extinction,0.3364
