final_corruption_rate,final_mean_integrity,total_extractions,integrity_mean,base_detection_prob,n_enforcers,oversight_structure,integrity_decay,corruption_contagion,seed
1.0,0.0017319156922281115,18188,2.0,0.1,100,hierarchical,True,True,0
1.0,0.00022054267899659214,18348,2.0,0.1,100,hierarchical,True,True,1
1.0,0.00022638777136890342,18340,2.0,0.1,100,hierarchical,True,True,2
1.0,0.00047551799390599246,18144,2.0,0.1,100,hierarchical,True,True,3
1.0,0.0003154760694949299,18250,2.0,0.1,100,hierarchical,True,True,4
1.0,0.0005377793371147461,18132,2.0,0.1,100,hierarchical,True,True,5
1.0,0.0002994546861122141,18252,2.0,0.1,100,hierarchical,True,True,6
1.0,0.00028640664020897016,18289,2.0,0.1,100,hierarchical,True,True,7
1.0,0.00038012611231197244,18101,2.0,0.1,100,hierarchical,True,True,8
1.0,0.00033903875946251794,18297,2.0,0.1,100,hierarchical,True,True,9
1.0,0.0009044278586393509,16691,2.0,0.2,100,hierarchical,True,True,0
1.0,0.0026151900959316765,16566,2.0,0.2,100,hierarchical,True,True,1
1.0,0.0018841584066201917,16502,2.0,0.2,100,hierarchical,True,True,2
1.0,0.057786309071798526,16413,2.0,0.2,100,hierarchical,True,True,3
1.0,0.001953470805378375,16673,2.0,0.2,100,hierarchical,True,True,4
1.0,0.001388397107588854,16479,2.0,0.2,100,hierarchical,True,True,5
1.0,0.001570167041531132,16586,2.0,0.2,100,hierarchical,True,True,6
1.0,0.000988091571369133,16706,2.0,0.2,100,hierarchical,True,True,7
1.0,0.00429831441942891,16503,2.0,0.2,100,hierarchical,True,True,8
1.0,0.0008989231355447081,16752,2.0,0.2,100,hierarchical,True,True,9
1.0,0.012450938363452173,14183,2.0,0.3,100,hierarchical,True,True,0
1.0,0.010679778857460898,14083,2.0,0.3,100,hierarchical,True,True,1
1.0,0.022779596596536004,14101,2.0,0.3,100,hierarchical,True,True,2
1.0,0.06799996812083348,13929,2.0,0.3,100,hierarchical,True,True,3
1.0,0.011931845521473534,14174,2.0,0.3,100,hierarchical,True,True,4
1.0,0.0443065785621519,14165,2.0,0.3,100,hierarchical,True,True,5
1.0,0.00880987320744358,14144,2.0,0.3,100,hierarchical,True,True,6
1.0,0.06134101619289261,13985,2.0,0.3,100,hierarchical,True,True,7
1.0,0.009721251311903718,14084,2.0,0.3,100,hierarchical,True,True,8
1.0,0.01569501999034711,14219,2.0,0.3,100,hierarchical,True,True,9
1.0,0.08336830034159397,11340,2.0,0.4,100,hierarchical,True,True,0
1.0,0.09038590652488311,11228,2.0,0.4,100,hierarchical,True,True,1
1.0,0.12127489467271944,11335,2.0,0.4,100,hierarchical,True,True,2
1.0,0.07385213427891262,11562,2.0,0.4,100,hierarchical,True,True,3
1.0,0.09049239403315402,11409,2.0,0.4,100,hierarchical,True,True,4
1.0,0.11706640293358656,11352,2.0,0.4,100,hierarchical,True,True,5
1.0,0.1440483919412094,11169,2.0,0.4,100,hierarchical,True,True,6
1.0,0.08270662954701026,11301,2.0,0.4,100,hierarchical,True,True,7
1.0,0.14617318393012682,11218,2.0,0.4,100,hierarchical,True,True,8
1.0,0.1442137882930007,11279,2.0,0.4,100,hierarchical,True,True,9
1.0,0.20834990566582867,9146,2.0,0.5,100,hierarchical,True,True,0
1.0,0.28648727751165337,9082,2.0,0.5,100,hierarchical,True,True,1
1.0,0.1979131020286038,9121,2.0,0.5,100,hierarchical,True,True,2
1.0,0.24719933146382908,9223,2.0,0.5,100,hierarchical,True,True,3
1.0,0.1918229031365409,9081,2.0,0.5,100,hierarchical,True,True,4
1.0,0.20900626573446537,9204,2.0,0.5,100,hierarchical,True,True,5
1.0,0.2211261587644088,9037,2.0,0.5,100,hierarchical,True,True,6
1.0,0.2465845612727685,9005,2.0,0.5,100,hierarchical,True,True,7
1.0,0.22446604334248177,9172,2.0,0.5,100,hierarchical,True,True,8
1.0,0.1800853092557826,9068,2.0,0.5,100,hierarchical,True,True,9
1.0,0.23722999945078893,7608,2.0,0.6,100,hierarchical,True,True,0
1.0,0.245530569523116,7735,2.0,0.6,100,hierarchical,True,True,1
1.0,0.2488808854560052,7574,2.0,0.6,100,hierarchical,True,True,2
1.0,0.2121758732049567,7875,2.0,0.6,100,hierarchical,True,True,3
1.0,0.23751057212873938,7513,2.0,0.6,100,hierarchical,True,True,4
1.0,0.23695070754874842,7723,2.0,0.6,100,hierarchical,True,True,5
1.0,0.22439515086959222,7649,2.0,0.6,100,hierarchical,True,True,6
1.0,0.18471632948467984,7732,2.0,0.6,100,hierarchical,True,True,7
1.0,0.29814358393987633,7517,2.0,0.6,100,hierarchical,True,True,8
1.0,0.23119465692868327,7592,2.0,0.6,100,hierarchical,True,True,9
0.99,0.18109149223511667,6478,2.0,0.7,100,hierarchical,True,True,0
1.0,0.20414160893331135,6631,2.0,0.7,100,hierarchical,True,True,1
1.0,0.1834272269543736,6565,2.0,0.7,100,hierarchical,True,True,2
1.0,0.18251374150288516,6813,2.0,0.7,100,hierarchical,True,True,3
1.0,0.1476024735129298,6537,2.0,0.7,100,hierarchical,True,True,4
1.0,0.18424584910737032,6485,2.0,0.7,100,hierarchical,True,True,5
0.98,0.17590162111389418,6478,2.0,0.7,100,hierarchical,True,True,6
0.98,0.1694823602070751,6660,2.0,0.7,100,hierarchical,True,True,7
1.0,0.20759818778638792,6533,2.0,0.7,100,hierarchical,True,True,8
1.0,0.22797533066977643,6404,2.0,0.7,100,hierarchical,True,True,9
1.0,0.0012727841962142461,17915,3.0,0.1,100,hierarchical,True,True,0
1.0,0.0005607324832285344,17846,3.0,0.1,100,hierarchical,True,True,1
1.0,0.0004393678057642884,17896,3.0,0.1,100,hierarchical,True,True,2
1.0,0.05570836256125602,17709,3.0,0.1,100,hierarchical,True,True,3
1.0,0.00040298733592216454,17941,3.0,0.1,100,hierarchical,True,True,4
1.0,0.0005395912224786175,17867,3.0,0.1,100,hierarchical,True,True,5
1.0,0.0005115139789964433,17809,3.0,0.1,100,hierarchical,True,True,6
1.0,0.0004348527802458667,17924,3.0,0.1,100,hierarchical,True,True,7
1.0,0.005162443775081248,17710,3.0,0.1,100,hierarchical,True,True,8
1.0,0.00039636238412741074,17983,3.0,0.1,100,hierarchical,True,True,9
1.0,0.0020717084608099915,16058,3.0,0.2,100,hierarchical,True,True,0
1.0,0.002602709070562102,15994,3.0,0.2,100,hierarchical,True,True,1
